Unnamed: 0,start date,end date,start year,start month,start day,end year,end month,end day,Kd mean,Kd geometric mean,Kd median:,Kd std,Kd geometric std,Kd variance,Kd N
2,2025-02-10,2025-02-17,2025,2,10,2025,2,17,0.032894894,0.032830518,0.0326,0.0021220532,1.063693,4.50311e-06,14909
3,2025-02-18,2025-02-25,2025,2,18,2025,2,25,0.030878004,0.030815221,0.030199999,0.0020414167,1.0647286,4.167382e-06,25603
4,2025-02-26,2025-03-05,2025,2,26,2025,3,5,0.030923704,0.030871527,0.030599998,0.0018449215,1.0590773,3.4037355e-06,23815
5,2025-03-06,2025-03-13,2025,3,6,2025,3,13,0.0313927,0.031319395,0.031,0.0022034573,1.0698822,4.8552242e-06,23540
6,2025-03-14,2025-03-21,2025,3,14,2025,3,21,0.030182676,0.030134605,0.0298,0.0017582932,1.0571913,3.091595e-06,25179
7,2025-03-22,2025-03-29,2025,3,22,2025,3,29,0.030199138,0.030105304,0.0296,0.0025068487,1.080225,6.28429e-06,19248
8,2025-03-30,2025-04-06,2025,3,30,2025,4,6,0.030198283,0.030114507,0.0298,0.0024575645,1.0744268,6.0396233e-06,22255
9,2025-04-07,2025-04-14,2025,4,7,2025,4,14,0.029657833,0.02949358,0.029,0.00350083,1.1050329,1.2255809e-05,9140
10,2025-04-15,2025-04-22,2025,4,15,2025,4,22,0.030837217,0.030758984,0.030399999,0.0023436216,1.07162,5.4925617e-06,11624
11,2025-04-23,2025-04-30,2025,4,23,2025,4,30,0.02946633,0.029396567,0.029199999,0.0022219464,1.0685097,4.9370456e-06,21996
