,start date,start year,start month,start day,start time,end time,aot_865 mean,aot_865 geometric mean,aot_865 median,aot_865 std,aot_865 geometric std,aot_865 variance,aot_865 N
43,2025-01-31,2025,01,31,21:10:41.108Z,21:15:40.991Z,0.079900004,0.072637364,0.06905,0.034578953,1.5596255,0.001195704,66
44,2025-01-31,2025,01,31,21:15:41.166Z,21:20:41.049Z,0.07380154,0.06360964,0.0637,0.03934449,1.7425942,0.0015479889,25803
45,2025-02-01,2025,02,01,20:12:04.131Z,20:17:04.013Z,0.07485536,0.054953337,0.0497,0.060704112,2.188094,0.0036849894,33451
46,2025-02-01,2025,02,01,21:45:23.107Z,21:50:22.989Z,0.0760625,0.0720188,0.07275,0.02435821,1.4170692,0.00059332233,16
47,2025-02-01,2025,02,01,21:50:23.165Z,21:55:23.047Z,0.03874958,0.03287501,0.0276,0.024972863,1.7242218,0.0006236439,7717
48,2025-02-02,2025,02,02,20:41:45.194Z,20:46:44.901Z,,,,,,,0
49,2025-02-02,2025,02,02,20:46:45.076Z,20:51:44.958Z,0.117205694,0.089565516,0.1048,0.07542725,2.2227554,0.00568927,34507
50,2025-02-03,2025,02,03,19:43:09.093Z,19:48:08.976Z,0.0801,0.0801,0.0801,0.0,,0.0,1
51,2025-02-03,2025,02,03,21:16:28.069Z,21:21:27.951Z,0.033088196,0.02587672,0.019199999,0.030153275,1.8479217,0.00090921996,8981
52,2025-02-03,2025,02,03,21:21:28.127Z,21:26:28.009Z,0.05551389,,0.037,0.043711357,,0.0019106828,73880
53,2025-02-04,2025,02,04,20:17:51.091Z,20:22:50.974Z,0.10319942,0.08985574,0.106,0.049808893,1.7497352,0.0024809258,42095
54,2025-02-04,2025,02,04,21:51:10.067Z,21:56:09.950Z,0.077115685,0.072953075,0.074099995,0.025090043,1.4036744,0.00062951026,10633
55,2025-02-04,2025,02,04,21:56:10.125Z,22:01:10.008Z,0.10952891,0.10872145,0.1114,0.013010176,1.1311562,0.00016926468,6809
56,2025-02-05,2025,02,05,20:47:43.226Z,20:52:42.933Z,0.045945775,0.031053772,0.022,0.052564107,2.1785212,0.0027629854,3078
57,2025-02-05,2025,02,05,20:52:43.109Z,20:57:42.991Z,0.090243354,0.07273209,0.0722,0.063022435,1.9376152,0.0039718277,152850
58,2025-02-06,2025,02,06,19:49:57.135Z,19:54:57.018Z,0.076060705,0.0698992,0.076799996,0.02903305,1.5499784,0.000842918,5307
59,2025-02-06,2025,02,06,21:23:20.147Z,21:28:20.030Z,0.027932357,0.023345202,0.021,0.023914259,1.6898795,0.0005718918,65514
60,2025-02-06,2025,02,06,21:28:20.205Z,21:33:19.912Z,0.084819935,0.07491543,0.074599996,0.042364847,1.6534795,0.0017947804,54454
61,2025-02-07,2025,02,07,20:20:34.174Z,20:25:33.881Z,0.06883169,0.04408539,0.0301,0.08164309,2.314065,0.006665594,486
62,2025-02-07,2025,02,07,20:25:34.056Z,20:30:33.939Z,0.11108649,0.07711659,0.0823,0.087883055,2.4667132,0.007723432,25350
63,2025-02-07,2025,02,07,21:58:56.191Z,22:03:55.898Z,,,,,,,0
64,2025-02-07,2025,02,07,22:03:56.073Z,22:08:55.955Z,0.08217918,0.08132733,0.0797,0.012107704,1.153876,0.00014659649,788
65,2025-02-08,2025,02,08,20:56:10.217Z,21:01:09.924Z,0.17870735,0.17397554,0.1796,0.0392959,1.2704189,0.0015441678,299
66,2025-02-08,2025,02,08,21:01:10.099Z,21:06:09.982Z,0.15184806,0.1425083,0.14684999,0.05308232,1.4361426,0.002817733,1702
67,2025-02-09,2025,02,09,19:58:24.126Z,20:03:24.008Z,0.111900955,0.11029604,0.1107,0.018962692,1.1859356,0.00035958368,2567
68,2025-02-09,2025,02,09,21:31:46.085Z,21:36:45.967Z,0.09572201,0.09382902,0.092599995,0.019473527,1.2197639,0.00037921823,9616
69,2025-02-09,2025,02,09,21:36:46.143Z,21:41:46.025Z,0.09661254,0.09480517,0.096049994,0.018630717,1.2159064,0.0003471036,4434
70,2025-02-10,2025,02,10,20:28:50.109Z,20:33:49.992Z,0.24376462,0.24016918,0.24984999,0.041072357,1.1913255,0.0016869387,198
71,2025-02-10,2025,02,10,20:33:50.167Z,20:38:50.050Z,0.15662088,0.14378321,0.15415001,0.06148322,1.5349283,0.0037801862,11690
72,2025-02-10,2025,02,10,22:07:13.179Z,22:12:12.886Z,,,,,,,0
73,2025-02-11,2025,02,11,21:04:25.100Z,21:09:24.982Z,0.12974682,0.12592067,0.12485,0.031973623,1.2771102,0.0010223126,3916
74,2025-02-11,2025,02,11,21:09:25.158Z,21:14:25.040Z,0.11223918,0.1039559,0.107599996,0.042309765,1.4953678,0.0017901161,18442
75,2025-02-12,2025,02,12,20:01:37.196Z,20:06:36.903Z,,,,,,,0
76,2025-02-12,2025,02,12,20:06:37.078Z,20:11:36.961Z,0.15531836,0.15171126,0.1575,0.032300632,1.249089,0.0010433308,245
77,2025-02-12,2025,02,12,21:39:59.213Z,21:44:58.920Z,0.13306665,0.13252087,0.1308,0.012123897,1.1041499,0.00014698888,6
78,2025-02-12,2025,02,12,21:44:59.095Z,21:49:58.978Z,0.10125902,0.0985753,0.0977,0.023419786,1.2619544,0.0005484864,3951
79,2025-02-13,2025,02,13,20:37:11.133Z,20:42:11.016Z,0.14560534,0.12074082,0.13589999,0.08086532,1.9206946,0.0065392,7830
80,2025-02-13,2025,02,13,20:42:11.191Z,20:47:10.898Z,0.2100429,0.203114,0.2114,0.051664736,1.3069973,0.002669245,1126
81,2025-02-14,2025,02,14,21:12:45.071Z,21:17:44.953Z,0.09928284,0.08773681,0.0967,0.04350618,1.7238643,0.0018927875,52355
82,2025-02-14,2025,02,14,21:17:45.129Z,21:22:45.011Z,0.09137975,0.08859567,0.088999994,0.022468986,1.2855088,0.0005048553,41108
83,2025-02-15,2025,02,15,20:09:57.167Z,20:14:57.050Z,0.2298605,0.22742915,0.2313,0.032592893,1.1608373,0.0010622966,81
84,2025-02-15,2025,02,15,20:14:57.225Z,20:19:56.932Z,0.14611344,0.13702208,0.14019999,0.05150717,1.4397001,0.0026529885,13185
85,2025-02-15,2025,02,15,21:48:20.061Z,21:53:19.944Z,0.113559894,0.11256472,0.116399996,0.0145182945,1.145182,0.00021078088,384
86,2025-02-15,2025,02,15,21:53:20.119Z,21:58:20.002Z,0.11181802,0.11067006,0.1125,0.015625741,1.1575102,0.0002441638,172
